#Name of data collector: Brandon Thorne
#Location: RPI Footbridge over 15th street. West side. 
#Latitude: 42.729592
#Longitude: -73.678252
#Method of collection: python program: footbridge_data_collection.py
east, 2016-09-28 00:51:45.584000
west, 2016-09-28 00:51:54.731000
west, 2016-09-28 00:52:15.421000
west, 2016-09-28 00:52:44.194000
east, 2016-09-28 00:53:22.947000
west, 2016-09-28 00:53:50.226000
west, 2016-09-28 00:55:06.310000
west, 2016-09-28 00:55:08.675000
west, 2016-09-28 00:55:09.335000
west, 2016-09-28 00:55:09.908000
west, 2016-09-28 00:55:10.473000
east, 2016-09-28 00:55:17.425000
west, 2016-09-28 00:55:28.380000
west, 2016-09-28 00:55:29.312000
west, 2016-09-28 00:55:31.101000
west, 2016-09-28 00:56:30.931000
west, 2016-09-28 00:56:51.242000
west, 2016-09-28 00:56:52.166000
west, 2016-09-28 00:57:04.424000
east, 2016-09-28 00:57:25.672000
east, 2016-09-28 00:57:50.051000
east, 2016-09-28 00:58:14.534000
east, 2016-09-28 00:58:33.344000
east, 2016-09-28 00:58:37.519000
east, 2016-09-28 00:58:38.756000
east, 2016-09-28 00:58:40.497000
west, 2016-09-28 00:58:42.678000
east, 2016-09-28 00:59:55.222000
west, 2016-09-28 01:00:15.599000
west, 2016-09-28 01:00:53.424000
east, 2016-09-28 01:01:09.588000
west, 2016-09-28 01:01:24.839000
west, 2016-09-28 01:01:25.491000
west, 2016-09-28 01:01:26.104000
west, 2016-09-28 01:01:26.684000
west, 2016-09-28 01:03:03.209000
east, 2016-09-28 01:03:07.735000
east, 2016-09-28 01:03:20.691000
east, 2016-09-28 01:03:24.706000
west, 2016-09-28 01:03:45.324000
east, 2016-09-28 01:04:03.875000
west, 2016-09-28 01:04:11.067000
west, 2016-09-28 01:04:12.040000
west, 2016-09-28 01:04:36.844000
west, 2016-09-28 01:04:40.218000
east, 2016-09-28 01:05:16.578000
east, 2016-09-28 01:05:20.120000
east, 2016-09-28 01:05:22.061000
east, 2016-09-28 01:05:38.715000
east, 2016-09-28 01:06:03.269000
west, 2016-09-28 01:06:23.927000
east, 2016-09-28 01:06:30.918000
west, 2016-09-28 01:06:33.179000
west, 2016-09-28 01:07:32.819000
west, 2016-09-28 01:07:33.279000
east, 2016-09-28 01:07:36.173000
east, 2016-09-28 01:07:37.633000
east, 2016-09-28 01:07:51.270000
east, 2016-09-28 01:08:05.219000
west, 2016-09-28 01:08:24.453000
east, 2016-09-28 01:08:31.029000
east, 2016-09-28 01:09:14.472000
east, 2016-09-28 01:09:29.599000
west, 2016-09-28 01:09:42.861000
west, 2016-09-28 01:10:09.099000
west, 2016-09-28 01:10:12.089000
west, 2016-09-28 01:10:25.422000
east, 2016-09-28 01:11:21.021000
east, 2016-09-28 01:11:51.788000
east, 2016-09-28 01:11:52.185000
east, 2016-09-28 01:12:22.229000
east, 2016-09-28 01:12:22.633000
east, 2016-09-28 01:12:26.685000
west, 2016-09-28 01:13:01.451000
east, 2016-09-28 01:13:06.875000
east, 2016-09-28 01:13:07.431000
east, 2016-09-28 01:13:34.274000
west, 2016-09-28 01:14:37.622000
east, 2016-09-28 01:14:43.213000
east, 2016-09-28 01:14:43.809000
west, 2016-09-28 01:15:17.516000
west, 2016-09-28 01:15:42.793000
west, 2016-09-28 01:15:50.034000
east, 2016-09-28 01:16:13.198000
east, 2016-09-28 01:16:14.819000
west, 2016-09-28 01:16:18.875000
west, 2016-09-28 01:16:20.855000
west, 2016-09-28 01:16:22.348000
east, 2016-09-28 01:16:40.204000
east, 2016-09-28 01:17:10.123000
west, 2016-09-28 01:17:20.621000
west, 2016-09-28 01:18:04.300000
east, 2016-09-28 01:18:41.564000
east, 2016-09-28 01:18:53.102000
east, 2016-09-28 01:18:59.118000
west, 2016-09-28 01:19:31.375000
east, 2016-09-28 01:19:55.835000
east, 2016-09-28 01:19:56.680000
west, 2016-09-28 01:20:39.002000
east, 2016-09-28 01:20:51.734000
